Wed May 26 09:33:40 2021    output.dat

         28906884 function calls (28887370 primitive calls) in 15.024 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.002    0.001    0.002    0.001 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\util.py:1138(from_dict)
     1824    0.002    0.000    0.118    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:6471(__array_wrap__)
      376    0.002    0.000    0.007    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\scipy\_lib\_util.py:216(_asarray_validated)
     3905    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
      684    0.002    0.000    0.002    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      274    0.002    0.000    0.002    0.000 {method 'accumulate' of 'numpy.ufunc' objects}
     6248    0.002    0.000    0.004    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_parse.py:254(get)
     3519    0.002    0.000    0.003    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\lookups.py:83(__setitem__)
        1    0.002    0.002   11.247   11.247 C:/Users/User/PycharmProjects/FINAL/main.py:59(create_pose_for_video)
2273/1527    0.002    0.000    0.004    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\spacy\util.py:1018(_get_attr_unless_lookup)
     5681    0.002    0.000    0.009    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:1324(make_mask_descr)
    582/6    0.002    0.000    0.035    0.006 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\sre_compile.py:71(_compile)
     6164    0.002    0.000    0.048    0.000 spacy\vocab.pyx:149(get_by_orth)
       15    0.002    0.000    0.002    0.000 thinc\backends\numpy_ops.pyx:80(gemm)
     1824    0.002    0.000    0.064    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:6468(__array_prepare__)
     5681    0.002    0.000    0.002    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:1278(_replace_dtype_fields_recursive)
     1848    0.002    0.000    0.004    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:582(filled)
        7    0.002    0.000    1.383    0.198 C:\Users\User\PycharmProjects\FINAL\SquareDistanceMatrix.py:35(get_best_connection_point)
       12    0.002    0.000    0.014    0.001 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\pose_format\pose.py:49(normalize)
      739    0.002    0.000    0.049    0.000 spacy\tokenizer.pyx:157(_tokenize_affixes)
      207    0.002    0.000    0.002    0.000 spacy\tokens\_retokenize.pyx:419(normalize_token_attrs)
  978/286    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     9579    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
      137    0.002    0.000    0.002    0.000 {built-in method scipy.ndimage._nd_image.correlate1d}
     2568    0.002    0.000    0.003    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\pose_format\utils\reader.py:52(unpack)
      739    0.002    0.000    0.005    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\collections\__init__.py:981(__init__)
       50    0.002    0.000    0.004    0.000 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.8_qbz5n2kfra8p0\LocalCache\local-packages\Python38\site-packages\numpy\ma\core.py:1005(__call__)
      344    0.002    0.000    0.011    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\inspect.py:2218(_signature_from_callable)
      207    0.002    0.000    0.002    0.000 {method 'add' of 'spacy.matcher.matcher.Matcher' objects}
     1944    0.002    0.000    0.027    0.000 {built-in method _functools.reduce}
1366/1008    0.002    0.000    0.005    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.8_3.8.2800.0_x64__qbz5n2kfra8p0\lib\configparser.py:765(get)
